expert_tile,model_tile,same_action,expert_shanten,model_shanten,expert_ukeire,model_ukeire,shanten_difference,ukeire_difference,model_prob,category,offset
east,west,False,4,4,66,67,0,-1,0.5532544851303101,near_equivalent,1.0
red,west,False,4,4,71,72,0,-1,0.7158728837966919,near_equivalent,2.0
west,west,True,3,3,32,32,0,0,0.4739123582839966,exact_match,3.0
south,south,True,3,3,52,52,0,0,0.691648542881012,exact_match,4.0
2m,2m,True,3,3,54,54,0,0,0.6123575568199158,exact_match,5.0
7s,7s,True,2,2,19,19,0,0,0.44919952750205994,exact_match,6.0
9p,9p,True,2,2,18,18,0,0,0.9557074308395386,exact_match,7.0
south,south,True,4,4,75,75,0,0,0.76090407371521,exact_match,8.0
south,south,True,4,4,87,87,0,0,0.8171125054359436,exact_match,9.0
red,9s,False,4,4,80,72,0,8,0.3864407539367676,ukeire_loss,10.0
green,green,True,4,4,87,87,0,0,0.4869411289691925,exact_match,11.0
9s,9s,True,3,3,37,37,0,0,0.543233335018158,exact_match,12.0
north,north,True,3,3,81,81,0,0,0.7919613718986511,exact_match,13.0
1p,1p,True,3,3,52,52,0,0,0.4711010456085205,exact_match,14.0
8m,8m,True,2,2,16,16,0,0,0.6786682605743408,exact_match,15.0
7m,5s,False,3,3,52,52,0,0,0.3691118657588959,equivalent,16.0
east,east,True,2,2,15,15,0,0,0.9429652094841003,exact_match,17.0
5s,5s,True,2,2,20,20,0,0,0.5946743488311768,exact_match,18.0
south,south,True,2,2,15,15,0,0,0.9502012133598328,exact_match,19.0
red,red,True,2,2,20,20,0,0,0.8984925746917725,exact_match,20.0
1p,1p,True,2,2,21,21,0,0,0.589693009853363,exact_match,21.0
8m,8m,True,2,2,19,19,0,0,0.8951718807220459,exact_match,22.0
3s,3s,True,1,1,13,13,0,0,0.5619401335716248,exact_match,23.0
1m,1m,True,2,2,23,23,0,0,0.5505577325820923,exact_match,24.0
4s,4s,True,1,1,11,11,0,0,0.8279405832290649,exact_match,25.0
west,west,True,2,2,21,21,0,0,0.7563521862030029,exact_match,26.0
1p,west,False,1,1,10,10,0,0,0.7963735461235046,equivalent,27.0
2s,8p,False,1,1,11,10,0,1,0.2785862386226654,near_equivalent,28.0
1s,1s,True,3,3,63,63,0,0,0.6764556765556335,exact_match,29.0
9m,9m,True,3,3,63,63,0,0,0.9380221366882324,exact_match,30.0
west,west,True,3,3,63,63,0,0,0.8800457119941711,exact_match,31.0
7p,4s,False,3,3,72,62,0,10,0.2768569588661194,ukeire_loss,32.0
4s,4p,False,2,2,19,19,0,0,0.28477582335472107,equivalent,33.0
7m,7m,True,2,2,19,19,0,0,0.33676546812057495,exact_match,34.0
4p,1s,False,2,2,19,19,0,0,0.7549471855163574,equivalent,35.0
1s,1s,True,1,1,11,11,0,0,0.466050922870636,exact_match,36.0
south,south,True,1,1,10,10,0,0,0.7534298896789551,exact_match,37.0
9p,9p,True,1,1,10,10,0,0,0.7972293496131897,exact_match,38.0
9s,5p,False,2,1,42,10,1,32,0.6929413676261902,better_shanten,39.0
1p,8s,False,2,1,35,12,1,23,0.5689403414726257,better_shanten,40.0
1p,1p,True,1,1,24,24,0,0,0.7865472435951233,exact_match,41.0
8s,8s,True,0,0,3,3,0,0,0.8481613993644714,exact_match,42.0
5p,7p,False,0,0,3,3,0,0,0.8671305775642395,equivalent,43.0
south,south,True,0,0,3,3,0,0,0.9336915612220764,exact_match,44.0
5s,7p,False,0,1,3,20,-1,-17,0.5097649693489075,shanten_loss,45.0
9p,9p,True,3,3,17,17,0,0,0.632095217704773,exact_match,46.0
east,6s,False,3,3,16,15,0,1,0.46187224984169006,near_equivalent,47.0
green,6s,False,3,3,65,48,0,17,0.4003302752971649,ukeire_loss,48.0
west,6s,False,2,2,55,38,0,17,0.4892149567604065,ukeire_loss,49.0
2m,3p,False,2,2,59,54,0,5,0.6415087580680847,ukeire_loss,50.0
3p,3p,True,1,1,11,11,0,0,0.5876772999763489,exact_match,51.0
6s,6s,True,0,0,3,3,0,0,0.9394090175628662,exact_match,52.0
4m,1m,False,0,1,3,28,-1,-25,0.3782857358455658,shanten_loss,53.0
9p,9p,True,0,0,3,3,0,0,0.9816569089889526,exact_match,54.0
8m,8m,True,0,0,3,3,0,0,0.5531883239746094,exact_match,55.0
8p,8p,True,0,0,3,3,0,0,0.9038956165313721,exact_match,56.0
9s,9s,True,0,0,3,3,0,0,0.9534754157066345,exact_match,57.0
west,9s,False,1,1,16,7,0,9,0.5332653522491455,ukeire_loss,58.0
west,9p,False,1,1,9,8,0,1,0.6640135645866394,near_equivalent,59.0
east,1s,False,2,2,50,42,0,8,0.6036003232002258,ukeire_loss,60.0
9p,9p,True,1,1,9,9,0,0,0.8941872715950012,exact_match,61.0
south,1s,False,2,2,49,40,0,9,0.6550658941268921,ukeire_loss,62.0
green,1s,False,2,2,48,40,0,8,0.5336347222328186,ukeire_loss,63.0
1s,1s,True,1,1,6,6,0,0,0.7502661347389221,exact_match,64.0
3s,3s,True,1,1,6,6,0,0,0.8456274271011353,exact_match,65.0
red,4m,False,1,1,8,6,0,2,0.45203593373298645,near_equivalent,66.0
red,red,True,1,1,8,8,0,0,0.6596050262451172,exact_match,67.0
2p,2p,True,1,1,8,8,0,0,0.9021428823471069,exact_match,68.0
1s,north,False,4,4,42,42,0,0,0.5189263224601746,equivalent,69.0
west,9p,False,3,3,28,28,0,0,0.4962361454963684,equivalent,70.0
north,north,True,4,4,65,65,0,0,0.5985868573188782,exact_match,71.0
9p,9p,True,3,3,28,28,0,0,0.7019083499908447,exact_match,72.0
east,east,True,3,3,28,28,0,0,0.6227917075157166,exact_match,73.0
4s,south,False,3,3,28,28,0,0,0.5032978057861328,equivalent,74.0
red,red,True,3,3,30,30,0,0,0.3835245966911316,exact_match,75.0
6m,white,False,3,3,57,57,0,0,0.443650484085083,equivalent,76.0
8p,8p,True,2,2,20,20,0,0,0.4799982011318207,exact_match,77.0
south,6s,False,2,3,19,51,-1,-32,0.3735367953777313,shanten_loss,78.0
west,west,True,3,3,24,24,0,0,0.5704069137573242,exact_match,79.0
north,1s,False,3,3,24,24,0,0,0.46648046374320984,equivalent,80.0
7m,1s,False,3,3,23,42,0,-19,0.6556357145309448,better_ukeire,81.0
1s,1s,True,2,2,18,18,0,0,0.6205762028694153,exact_match,82.0
7p,7p,True,1,1,11,11,0,0,0.45107096433639526,exact_match,83.0
west,west,True,1,1,11,11,0,0,0.9227159023284912,exact_match,84.0
white,north,False,3,3,62,62,0,0,0.7064327597618103,equivalent,85.0
east,east,True,3,3,63,63,0,0,0.7606711387634277,exact_match,86.0
north,north,True,2,2,19,19,0,0,0.5632466673851013,exact_match,87.0
8s,2p,False,2,2,12,12,0,0,0.5802379250526428,equivalent,88.0
red,red,True,2,2,19,19,0,0,0.5161583423614502,exact_match,89.0
1p,7p,False,2,2,12,16,0,-4,0.600418746471405,better_ukeire,90.0
west,1m,False,2,2,44,44,0,0,0.7546430230140686,equivalent,91.0
9m,7p,False,2,2,15,19,0,-4,0.7627357840538025,better_ukeire,92.0
1m,1m,True,2,2,46,46,0,0,0.9277788400650024,exact_match,93.0
3p,7p,False,2,2,25,32,0,-7,0.849646270275116,better_ukeire,94.0
1p,1p,True,2,2,45,45,0,0,0.6391215920448303,exact_match,95.0
green,2p,False,3,2,60,25,1,35,0.5157713294029236,better_shanten,96.0
3p,3p,True,1,1,16,16,0,0,0.9381023645401001,exact_match,97.0
4s,4s,True,1,1,16,16,0,0,0.6383667588233948,exact_match,98.0
2s,2s,True,1,1,15,15,0,0,0.8420531749725342,exact_match,99.0
5s,north,False,3,3,53,69,0,-16,0.42007437348365784,better_ukeire,100.0
6p,6p,True,2,2,12,12,0,0,0.7254395484924316,exact_match,101.0
6p,6p,True,2,2,12,12,0,0,0.860471785068512,exact_match,102.0
north,green,False,1,1,8,8,0,0,0.4846930503845215,equivalent,103.0
green,green,True,1,1,8,8,0,0,0.6469103693962097,exact_match,104.0
1m,1m,True,0,0,4,4,0,0,0.46822652220726013,exact_match,105.0
9m,north,False,3,3,64,72,0,-8,0.7308009266853333,better_ukeire,106.0
north,north,True,2,2,20,20,0,0,0.8654155731201172,exact_match,107.0
2s,8s,False,1,1,16,16,0,0,0.5827361345291138,equivalent,108.0
1p,1p,True,2,2,19,19,0,0,0.7997537851333618,exact_match,109.0
4m,4m,True,2,2,23,23,0,0,0.6999526023864746,exact_match,110.0
9p,9p,True,1,1,18,18,0,0,0.44452983140945435,exact_match,111.0
1p,south,False,4,4,70,78,0,-8,0.42759793996810913,better_ukeire,112.0
